name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"F16_ref_95/decode_median",20,14.1848,14.162,ns,,,,,
"F16_ref_95/decode_stddev",20,0.227151,0.211679,ns,,,,,
"F16_test_95/decode_mean",20,12.9053,12.8578,ns,,,,,
"F16_test_95/decode_median",20,12.8342,12.7931,ns,,,,,
"F16_test_95/decode_stddev",20,0.361335,0.340429,ns,,,,,
"F16_ref_100/encode_mean",20,13.418,13.3797,ns,,,,,
"F16_ref_100/encode_median",20,13.3014,13.2568,ns,,,,,
"F16_ref_100/encode_stddev",20,0.312594,0.2899,ns,,,,,
"F16_test_100/encode_mean",20,12.0851,12.0565,ns,,,,,
"F16_test_100/encode_median",20,12.0437,12.0208,ns,,,,,
"F16_test_100/encode_stddev",20,0.190812,0.16511,ns,,,,,
"F16_ref_100/decode_mean",20,12.7245,12.6851,ns,,,,,
"F16_ref_100/decode_median",20,12.6071,12.5864,ns,,,,,
"F16_ref_100/decode_stddev",20,0.284583,0.269461,ns,,,,,
"F16_test_100/decode_mean",20,10.4382,10.4106,ns,,,,,
"F16_test_100/decode_median",20,10.2696,10.2494,ns,,,,,
"F16_test_100/decode_stddev",20,0.553463,0.538496,ns,,,,,
"F16_ref_101/encode_mean",20,13.0622,13.0226,ns,,,,,
"F16_ref_101/encode_median",20,12.9475,12.918,ns,,,,,
"F16_ref_101/encode_stddev",20,0.329303,0.311859,ns,,,,,
"F16_test_101/encode_mean",20,13.6057,13.5658,ns,,,,,
"F16_test_101/encode_median",20,13.5187,13.4786,ns,,,,,
"F16_test_101/encode_stddev",20,0.300167,0.284101,ns,,,,,
"F16_ref_101/decode_mean",20,13.015,12.9765,ns,,,,,
"F16_ref_101/decode_median",20,12.9215,12.8982,ns,,,,,
"F16_ref_101/decode_stddev",20,0.29759,0.262494,ns,,,,,
"F16_test_101/decode_mean",20,11.3274,11.2956,ns,,,,,
"F16_test_101/decode_median",20,11.2546,11.2253,ns,,,,,
"F16_test_101/decode_stddev",20,0.2505,0.234216,ns,,,,,
"F16_ref_103/encode_mean",20,15.2935,15.24,ns,,,,,
"F16_ref_103/encode_median",20,15.1471,15.0837,ns,,,,,
"F16_ref_103/encode_stddev",20,0.417392,0.388562,ns,,,,,
"F16_test_103/encode_mean",20,14.5151,14.4781,ns,,,,,
"F16_test_103/encode_median",20,14.4166,14.3805,ns,,,,,
"F16_test_103/encode_stddev",20,0.306254,0.284554,ns,,,,,
"F16_ref_103/decode_mean",20,14.8152,14.7597,ns,,,,,
"F16_ref_103/decode_median",20,14.5849,14.5618,ns,,,,,
"F16_ref_103/decode_stddev",20,0.635148,0.567769,ns,,,,,
"F16_test_103/decode_mean",20,12.7273,12.7022,ns,,,,,
"F16_test_103/decode_median",20,12.6605,12.644,ns,,,,,
"F16_test_103/decode_stddev",20,0.221164,0.206768,ns,,,,,
"F16_ref_127/encode_mean",20,17.2296,17.1588,ns,,,,,
"F16_ref_127/encode_median",20,17.0243,16.9844,ns,,,,,
"F16_ref_127/encode_stddev",20,0.464962,0.417333,ns,,,,,
"F16_test_127/encode_mean",20,16.1807,16.1381,ns,,,,,
"F16_test_127/encode_median",20,16.0498,16.0133,ns,,,,,
"F16_test_127/encode_stddev",20,0.331452,0.312103,ns,,,,,
"F16_ref_127/decode_mean",20,16.2879,16.1882,ns,,,,,
"F16_ref_127/decode_median",20,16.137,16.1063,ns,,,,,
"F16_ref_127/decode_stddev",20,0.629289,0.458615,ns,,,,,
"F16_test_127/decode_mean",20,14.0107,13.967,ns,,,,,
"F16_test_127/decode_median",20,13.8633,13.8288,ns,,,,,
"F16_test_127/decode_stddev",20,0.340332,0.320465,ns,,,,,
