name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"F16_ref_24/decode_mean",20,3.55305,3.54516,ns,,,,,
"F16_ref_24/decode_median",20,3.5193,3.51619,ns,,,,,
"F16_ref_24/decode_stddev",20,0.0858385,0.0799714,ns,,,,,
"F16_test_24/decode_mean",20,4.2761,4.26795,ns,,,,,
"F16_test_24/decode_median",20,4.252,4.24571,ns,,,,,
"F16_test_24/decode_stddev",20,0.0794903,0.0722169,ns,,,,,
"F16_ref_31/encode_mean",20,10.4266,10.3943,ns,,,,,
"F16_ref_31/encode_median",20,10.3162,10.2939,ns,,,,,
"F16_ref_31/encode_stddev",20,0.268823,0.243437,ns,,,,,
"F16_test_31/encode_mean",20,9.14855,9.13454,ns,,,,,
"F16_test_31/encode_median",20,9.10133,9.09001,ns,,,,,
"F16_test_31/encode_stddev",20,0.187057,0.179371,ns,,,,,
"F16_ref_31/decode_mean",20,8.95729,8.94302,ns,,,,,
"F16_ref_31/decode_median",20,8.86355,8.85543,ns,,,,,
"F16_ref_31/decode_stddev",20,0.253811,0.244011,ns,,,,,
"F16_test_31/decode_mean",20,9.75687,9.73516,ns,,,,,
"F16_test_31/decode_median",20,9.65711,9.63698,ns,,,,,
"F16_test_31/decode_stddev",20,0.271116,0.257294,ns,,,,,
"F16_ref_32/encode_mean",20,4.83248,4.82356,ns,,,,,
"F16_ref_32/encode_median",20,4.79448,4.78572,ns,,,,,
"F16_ref_32/encode_stddev",20,0.0999192,0.0952638,ns,,,,,
"F16_test_32/encode_mean",20,4.84505,4.83148,ns,,,,,
"F16_test_32/encode_median",20,4.79424,4.77995,ns,,,,,
"F16_test_32/encode_stddev",20,0.140792,0.13044,ns,,,,,
"F16_ref_32/decode_mean",20,4.02959,4.02284,ns,,,,,
"F16_ref_32/decode_median",20,4.01291,4.00893,ns,,,,,
"F16_ref_32/decode_stddev",20,0.0582332,0.0541063,ns,,,,,
"F16_test_32/decode_mean",20,4.84953,4.83566,ns,,,,,
"F16_test_32/decode_median",20,4.81473,4.80733,ns,,,,,
"F16_test_32/decode_stddev",20,0.0882887,0.0786668,ns,,,,,
"F16_ref_63/encode_mean",20,12.2121,12.1899,ns,,,,,
"F16_ref_63/encode_median",20,12.0764,12.0602,ns,,,,,
"F16_ref_63/encode_stddev",20,0.366899,0.347017,ns,,,,,
"F16_test_63/encode_mean",20,11.4115,11.392,ns,,,,,
"F16_test_63/encode_median",20,11.3004,11.2853,ns,,,,,
"F16_test_63/encode_stddev",20,0.240085,0.229857,ns,,,,,
"F16_ref_63/decode_mean",20,11.2202,11.1913,ns,,,,,
"F16_ref_63/decode_median",20,11.1043,11.0934,ns,,,,,
"F16_ref_63/decode_stddev",20,0.320563,0.28172,ns,,,,,
"F16_test_63/decode_mean",20,11.2828,11.2621,ns,,,,,
"F16_test_63/decode_median",20,11.1633,11.1478,ns,,,,,
"F16_test_63/decode_stddev",20,0.330974,0.316932,ns,,,,,
"F16_ref_64/encode_mean",20,7.93176,7.91781,ns,,,,,
"F16_ref_64/encode_median",20,7.89042,7.88215,ns,,,,,
"F16_ref_64/encode_stddev",20,0.149618,0.139172,ns,,,,,
"F16_test_64/encode_mean",20,8.03034,8.01169,ns,,,,,
"F16_test_64/encode_median",20,7.96557,7.95388,ns,,,,,
"F16_test_64/encode_stddev",20,0.186876,0.174682,ns,,,,,
"F16_ref_64/decode_mean",20,6.26862,6.25368,ns,,,,,
"F16_ref_64/decode_median",20,6.20832,6.19837,ns,,,,,
"F16_ref_64/decode_stddev",20,0.148861,0.140494,ns,,,,,
"F16_test_64/decode_mean",20,7.07306,7.0615,ns,,,,,
"F16_test_64/decode_median",20,7.04566,7.03428,ns,,,,,
"F16_test_64/decode_stddev",20,0.122222,0.112389,ns,,,,,
"F16_ref_75/encode_mean",20,10.1752,10.1474,ns,,,,,
"F16_ref_75/encode_median",20,10.0767,10.0548,ns,,,,,
"F16_ref_75/encode_stddev",20,0.268693,0.253953,ns,,,,,
"F16_test_75/encode_mean",20,10.8395,10.8136,ns,,,,,
